transaction year,house age,distance to the nearest MRT station,convenience stores close by,latitude,longitude,house price of unit area
2013,31,5512,1,24.95095,121.48458000000001,18.8
2013,28,330,8,24.974079999999997,121.54011000000001,43.4
2012,11,390,5,24.97937,121.54245,46.8
2013,18,1783,3,24.96731,121.51486000000001,20.9
2013,18,1414,1,24.95182,121.54887,26.6
2013,21,463,9,24.9703,121.54458000000001,42.0
2013,11,201,8,24.98489,121.54121,55.9
2013,35,640,3,24.97563,121.53715,61.5
2013,13,1712,2,24.96412,121.5167,30.8
2012,32,265,8,24.98059,121.53986,40.2
2013,8,104,5,24.966739999999998,121.54066999999999,52.5
2013,17,4082,0,24.94155,121.50381000000002,18.8
2013,43,57,7,24.9675,121.54068999999998,42.7
2013,39,480,4,24.97353,121.53885,38.8
2013,16,967,4,24.98872,121.53408,40.3
2013,17,189,8,24.97707,121.54308,47.1
2013,12,1360,1,24.95204,121.54842,26.6
2012,16,4066,0,24.942970000000003,121.50341999999999,12.9
2013,8,104,5,24.966739999999998,121.54066999999999,55.5
2012,21,512,4,24.974,121.53842,42.5
2013,2,184,6,24.96581,121.54086000000001,45.4
2013,2,1554,3,24.97026,121.51642,31.1
2013,19,461,5,24.95425,121.5399,32.9
2013,30,377,6,24.964270000000003,121.53963999999999,36.8
2013,13,319,6,24.96495,121.54276999999999,47.4
2013,42,443,6,24.97927,121.53873999999999,35.3
2013,8,104,5,24.966739999999998,121.54066999999999,51.6
2012,14,2615,0,24.95495,121.56173999999999,21.8
2013,19,383,8,24.971999999999998,121.54477,48.1
2013,7,379,10,24.98343,121.53761999999999,49.8
2012,40,167,5,24.9663,121.54026,41.0
2012,5,390,5,24.97937,121.54245,43.1
2013,2,533,4,24.97445,121.54765,55.0
2013,5,1559,3,24.97213,121.51626999999999,28.9
2013,16,2103,3,24.960420000000003,121.51462,25.6
2013,3,49,8,24.95836,121.53756000000001,56.8
2013,4,312,5,24.95591,121.53956000000001,51.7
2013,8,1962,1,24.95468,121.55481,23.5
2013,14,1717,2,24.964470000000002,121.51648999999999,23.0
2012,0,208,6,24.95618,121.53844,44.0
2013,35,170,7,24.96719,121.54269,48.5
2012,7,2175,3,24.96305,121.51253999999999,32.1
2012,38,642,3,24.97559,121.53713,31.5
2013,6,90,9,24.97433,121.5431,58.1
2013,17,395,5,24.95674,121.53399999999999,24.5
2012,1,23,7,24.96772,121.54101999999999,49.7
2012,12,250,7,24.96606,121.54297,39.3
2013,12,187,1,24.973879999999998,121.52981000000001,33.1
2012,15,1497,3,24.970029999999998,121.51696000000001,23.6
2013,13,492,5,24.96515,121.53737,43.8
2013,14,169,1,24.973689999999998,121.52978999999999,50.2
2012,34,623,7,24.979329999999997,121.53641999999999,40.3
2013,29,1487,2,24.97542,121.51726000000001,27.0
2013,16,289,5,24.982029999999998,121.54348,59.6
2013,13,492,5,24.96515,121.53737,42.3
2013,3,577,6,24.97201,121.54722,41.6
2012,14,1935,2,24.96386,121.51458000000001,22.9
2013,11,1931,2,24.96365,121.51471000000001,21.3
2012,3,56,7,24.95744,121.53711000000001,53.5
2013,31,592,2,24.9726,121.53561,34.1
2013,0,274,1,24.9748,121.53058999999999,43.5
2013,8,3078,0,24.954639999999998,121.56626999999999,22.0
2013,13,1144,4,24.99176,121.53456000000001,36.7
2013,17,444,1,24.97501,121.5273,43.9
2013,7,451,5,24.97563,121.54693999999999,57.1
2012,27,4412,1,24.95032,121.49587,17.4
2012,28,372,6,24.978379999999998,121.54118999999999,40.8
2012,12,383,7,24.96735,121.54463999999999,42.5
2012,15,383,7,24.96735,121.54463999999999,34.4
2013,21,1055,0,24.96211,121.54928000000001,23.1
2013,16,289,5,24.982029999999998,121.54348,53.0
2012,38,461,0,24.97229,121.53445,35.7
2013,16,289,5,24.982029999999998,121.54348,55.0
2013,17,995,0,24.96305,121.54915,25.5
2013,38,665,3,24.97503,121.53692,34.2
2013,5,390,5,24.97937,121.54245,49.5
2012,1,1455,1,24.9512,121.54899999999999,27.0
2012,30,161,9,24.98353,121.53966000000001,39.7
2013,38,804,4,24.978379999999998,121.53477,62.9
